datetime,open,high,low,close,volume
2025-01-16 06:00:00,3.0751,3.0764,3.05,3.0539,11523231.0
2025-01-16 07:00:00,3.0538,3.1222,3.0461,3.1222,22525031.0
2025-01-16 08:00:00,3.1222,3.15,3.089,3.091,30017029.0
2025-01-16 09:00:00,3.0908,3.1139,3.0452,3.0777,30849649.0
2025-01-16 10:00:00,3.0778,3.087,3.0281,3.0742,33508545.0
2025-01-16 11:00:00,3.0743,3.1112,3.07,3.1109,21656516.0
2025-01-16 12:00:00,3.1109,3.21,3.0877,3.1967,109555891.66
2025-01-16 13:00:00,3.1968,3.3478,3.1614,3.3386,96564124.96
2025-01-16 14:00:00,3.3385,3.3884,3.2563,3.2965,96583560.74
2025-01-16 15:00:00,3.2966,3.365,3.1869,3.2189,107240761.0
2025-01-16 16:00:00,3.2189,3.33,3.2149,3.3076,56877891.0
2025-01-16 17:00:00,3.3076,3.4,3.3043,3.3805,54792711.84
2025-01-16 18:00:00,3.3804,3.3873,3.32,3.3513,40017564.0
2025-01-16 19:00:00,3.3514,3.3697,3.3194,3.3506,23457367.0
2025-01-16 20:00:00,3.3506,3.3914,3.3235,3.3495,23002711.0
2025-01-16 21:00:00,3.3494,3.3503,3.2563,3.2921,46834252.0
2025-01-16 22:00:00,3.292,3.3068,3.2432,3.2921,23458613.0
2025-01-16 23:00:00,3.2921,3.2989,3.2004,3.225,26276397.0
2025-01-17 00:00:00,3.2251,3.2579,3.1649,3.2451,30048005.0
2025-01-17 01:00:00,3.245,3.2924,3.2437,3.2747,25213271.0
2025-01-17 02:00:00,3.2746,3.2941,3.2555,3.2807,15571911.0
2025-01-17 03:00:00,3.2807,3.3499,3.2788,3.3456,21121166.0
2025-01-17 04:00:00,3.3455,3.3483,3.2957,3.3078,18093523.0
2025-01-17 05:00:00,3.3077,3.3192,3.2841,3.3087,11837718.0
2025-01-17 06:00:00,3.3088,3.3544,3.3,3.3245,22318091.0
2025-01-17 07:00:00,3.3245,3.3433,3.3085,3.3418,15807532.0
2025-01-17 08:00:00,3.3418,3.345,3.293,3.3025,20253804.0
